,Date,Approval Index,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove
0,2021-12-22,-28,20,48,42.0,57
1,2021-12-21,-27,20,47,42.0,57
2,2021-12-20,-27,20,47,41.0,57
3,2021-12-17,-27,20,47,41.0,58
4,2021-12-16,-28,20,48,40.0,58
5,2021-12-15,-25,21,46,42.0,56
6,2021-12-14,-26,21,47,41.0,57
7,2021-12-13,-23,23,46,43.0,56
8,2021-12-10,-23,23,46,43.0,56
9,2021-12-09,-22,24,46,42.0,56
10,2021-12-08,-24,24,48,42.0,57
11,2021-12-07,-25,23,48,42.0,56
12,2021-12-06,-24,24,48,42.0,56
13,2021-12-03,-26,23,49,42.0,57
14,2021-12-02,-25,23,48,43.0,56
15,2021-12-01,-25,22,47,43.0,56
16,2021-11-30,-25,22,47,43.0,56
17,2021-11-29,-25,22,47,42.0,57
20,2021-11-24,-28,21,49,41.0,58
21,2021-11-23,-28,21,49,41.0,58
22,2021-11-22,-29,20,49,41.0,58
23,2021-11-19,-29,20,49,41.0,58
24,2021-11-18,-29,20,49,41.0,59
25,2021-11-17,-30,20,50,41.0,58
26,2021-11-16,-30,20,50,41.0,57
27,2021-11-15,-29,20,49,43.0,56
28,2021-11-12,-28,21,49,42.0,57
29,2021-11-11,-28,21,49,41.0,58
30,2021-11-10,-30,20,50,40.0,59
31,2021-11-09,-28,21,49,40.0,59
32,2021-11-08,-26,21,47,42.0,57
33,2021-11-05,-24,22,46,43.0,55
34,2021-11-04,-24,22,46,44.0,54
35,2021-11-03,-24,23,47,44.0,55
36,2021-11-02,-26,22,48,43.0,56
37,2021-11-01,-26,22,48,42.0,57
38,2021-10-29,-27,21,48,42.0,57
39,2021-10-28,-27,20,47,42.0,57
40,2021-10-27,-28,20,48,42.0,57
41,2021-10-26,-28,21,49,41.0,57
42,2021-10-25,-26,22,48,43.0,56
43,2021-10-22,-28,21,49,42.0,57
44,2021-10-21,-27,21,48,42.0,56
46,2021-10-20,-29,21,50,41.0,58
47,2021-10-19,-26,22,48,42.0,56
