,Date,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),month
0,2021-01-25,36.0,38.0,48.0,45.0,2.478,1
1,2021-02-01,34.6,39.6,48.6,47.0,2.495,2
2,2021-02-08,34.4,37.6,50.4,46.4,2.548,2
3,2021-02-15,35.0,38.2,50.8,46.4,2.588,2
4,2021-02-22,34.8,37.8,51.0,46.2,2.717,2
5,2021-03-01,32.4,40.0,49.6,48.6,2.7960000000000003,3
6,2021-03-08,33.0,40.2,49.4,48.0,2.8569999999999998,3
7,2021-03-15,33.2,39.6,50.0,47.8,2.94,3
8,2021-03-22,34.6,39.4,51.6,46.6,2.9539999999999997,3
9,2021-03-29,31.0,42.0,48.0,50.2,2.9410000000000003,3
10,2021-04-05,31.6,41.6,48.4,49.8,2.945,4
11,2021-04-12,30.8,41.4,48.8,49.6,2.9389999999999996,4
12,2021-04-19,32.0,39.6,49.8,48.2,2.945,4
13,2021-04-26,31.4,40.8,50.4,48.0,2.9619999999999997,4
14,2021-05-03,30.2,40.4,48.8,49.2,2.9810000000000003,5
15,2021-05-10,33.8,39.6,49.8,47.8,3.051,5
16,2021-05-17,31.6,40.2,49.4,48.8,3.1180000000000003,5
17,2021-05-24,30.6,39.8,51.2,47.2,3.112,5
18,2021-05-31,31.2,35.2,54.2,43.6,3.1189999999999998,5
19,2021-06-07,31.6,38.4,51.2,47.2,3.128,6
20,2021-06-14,30.8,41.0,49.8,48.4,3.161,6
21,2021-06-21,30.4,39.8,49.8,48.6,3.153,6
22,2021-06-28,30.8,38.8,51.4,46.6,3.185,6
23,2021-07-05,29.2,40.4,48.4,49.4,3.216,7
24,2021-07-12,29.0,40.0,49.0,49.666666666666664,3.227,7
25,2021-07-19,29.8,40.4,48.8,49.2,3.247,7
26,2021-07-26,29.8,38.4,50.4,48.0,3.2319999999999998,7
27,2021-08-02,27.8,41.2,47.2,50.8,3.2560000000000002,8
28,2021-08-09,29.0,42.0,48.2,50.6,3.2689999999999997,8
29,2021-08-16,27.2,43.0,47.8,50.8,3.272,8
30,2021-08-23,26.6,44.6,45.8,53.4,3.2430000000000003,8
31,2021-08-30,25.2,45.6,44.6,54.2,3.237,8
32,2021-09-06,25.0,46.0,43.4,54.8,3.273,9
33,2021-09-13,26.6,44.6,46.2,52.2,3.262,9
34,2021-09-20,25.8,45.8,44.4,54.0,3.28,9
35,2021-09-27,24.8,45.8,43.8,55.4,3.2710000000000004,9
36,2021-10-04,22.0,48.4,41.4,56.8,3.285,10
37,2021-10-11,23.4,47.0,43.4,55.2,3.36,10
38,2021-10-18,21.2,47.8,42.2,56.6,3.4160000000000004,10
39,2021-10-25,21.2,48.6,41.8,56.6,3.4760000000000004,10
40,2021-11-01,20.8,48.0,42.0,56.8,3.484,11
41,2021-11-08,22.2,47.0,43.2,55.4,3.505,11
42,2021-11-15,20.8,48.8,41.0,58.0,3.495,11
43,2021-11-22,20.0,49.4,41.4,57.6,3.4930000000000003,11
44,2021-11-29,20.666666666666668,49.0,41.0,58.0,3.478,11
45,2021-12-06,22.4,47.6,42.6,56.4,3.44,12
46,2021-12-13,23.6,47.2,42.2,56.2,3.4139999999999997,12
47,2021-12-20,21.0,46.8,41.4,57.0,3.395,12
