,Date,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),Year
0,2008-11-10,41.0,29.0,53.75,41.5,2.2840000000000003,2008
1,2008-11-17,41.42857142857143,23.142857142857142,58.142857142857146,38.0,2.1319999999999997,2008
2,2008-11-24,40.42857142857143,20.714285714285715,60.857142857142854,36.142857142857146,1.952,2008
3,2008-12-01,42.0,19.75,61.0,36.0,1.87,2008
4,2008-12-08,42.285714285714285,15.714285714285714,66.14285714285714,31.285714285714285,1.758,2008
5,2008-12-15,43.142857142857146,16.0,67.0,30.714285714285715,1.716,2008
6,2008-12-22,41.857142857142854,15.428571428571429,67.28571428571429,30.285714285714285,1.71,2008
7,2008-12-29,43.0,15.0,68.0,29.0,1.67,2008
8,2009-01-05,43.0,14.0,69.0,28.0,1.7369999999999999,2009
9,2009-01-12,41.142857142857146,14.142857142857142,68.71428571428571,28.428571428571427,1.835,2009
10,2009-01-19,41.857142857142854,15.142857142857142,65.85714285714286,31.714285714285715,1.8980000000000001,2009
11,2009-01-26,43.285714285714285,16.714285714285715,63.714285714285715,31.428571428571427,1.89,2009
12,2009-02-02,42.714285714285715,20.857142857142858,62.142857142857146,35.57142857142857,1.944,2009
13,2009-02-09,38.142857142857146,22.285714285714285,60.714285714285715,37.0,1.9780000000000002,2009
14,2009-02-16,39.857142857142854,24.428571428571427,60.142857142857146,38.142857142857146,2.016,2009
15,2009-02-23,37.714285714285715,25.571428571428573,59.42857142857143,39.285714285714285,1.963,2009
16,2009-03-02,39.285714285714285,26.714285714285715,59.142857142857146,39.714285714285715,1.9880000000000002,2009
17,2009-03-09,40.285714285714285,28.285714285714285,58.142857142857146,40.57142857142857,1.993,2009
18,2009-03-16,37.42857142857143,30.285714285714285,56.57142857142857,42.285714285714285,1.964,2009
19,2009-03-23,36.142857142857146,31.142857142857142,55.857142857142854,43.0,2.0140000000000002,2009
20,2009-03-30,35.714285714285715,30.714285714285715,56.285714285714285,42.57142857142857,2.097,2009
21,2009-04-06,36.142857142857146,29.857142857142858,56.857142857142854,42.0,2.09,2009
22,2009-04-13,34.857142857142854,29.285714285714285,56.142857142857146,42.714285714285715,2.104,2009
23,2009-04-20,35.142857142857146,31.285714285714285,55.0,43.714285714285715,2.112,2009
24,2009-04-27,35.0,31.285714285714285,54.714285714285715,44.57142857142857,2.102,2009
