,date,value
0,1999-01-01,36223
1,1999-04-01,35924
2,1999-07-01,37275
3,1999-10-01,37928
4,2000-01-01,37396
5,2000-04-01,38539
6,2000-07-01,39882
7,2000-10-01,41018
8,2001-01-01,42898
9,2001-04-01,43373
10,2001-07-01,43488
11,2001-10-01,43175
12,2002-01-01,45756
13,2002-04-01,46762
14,2002-07-01,46983
15,2002-10-01,46679
16,2003-01-01,48202
17,2003-04-01,46747
18,2003-07-01,47328
19,2003-10-01,48750
20,2004-01-01,47993
21,2004-04-01,48915
22,2004-07-01,49239
23,2004-10-01,51663
24,2005-01-01,51541
25,2005-04-01,52584
26,2005-07-01,54923
27,2005-10-01,56747
28,2006-01-01,65512
29,2006-04-01,68162
30,2006-07-01,56586
31,2006-10-01,55132
32,2007-01-01,56348
33,2007-04-01,57060
34,2007-07-01,58512
35,2007-10-01,59667
36,2008-01-01,61833
37,2008-04-01,63991
38,2008-07-01,62290
39,2008-10-01,57632
40,2009-01-01,55053
41,2009-04-01,54964
42,2009-07-01,56503
43,2009-10-01,59237
44,2010-01-01,59713
45,2010-04-01,61376
46,2010-07-01,62023
47,2010-10-01,63866
48,2011-01-01,64605
49,2011-04-01,66016
50,2011-07-01,67697
51,2011-10-01,67573
52,2012-01-01,67942
53,2012-04-01,68318
54,2012-07-01,67746
55,2012-10-01,67751
56,2013-01-01,69862
57,2013-04-01,71031
58,2013-07-01,72664
59,2013-10-01,72549
60,2014-01-01,71944
61,2014-04-01,72695
62,2014-07-01,72752
63,2014-10-01,74790
64,2015-01-01,73792
65,2015-04-01,73494
66,2015-07-01,72912
67,2015-10-01,73718
68,2016-01-01,74640
69,2016-04-01,78260
70,2016-07-01,81709
71,2016-10-01,84372
72,2017-01-01,84903
73,2017-04-01,86384
74,2017-07-01,87733
75,2017-10-01,87325
76,2018-01-01,90568
77,2018-04-01,92538
78,2018-07-01,89781
79,2018-10-01,93616
80,2019-01-01,97009
81,2019-04-01,89934
82,2019-07-01,92470
83,2019-10-01,90908
84,2020-01-01,82205
85,2020-04-01,62139
86,2020-07-01,72297
87,2020-10-01,84089
88,2021-01-01,65017
89,2021-04-01,70501
