,Date,Approval Index,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),Month
0,2021-11-29,-26,22,48,41.0,58,3.478,11
1,2021-11-22,-28,20,48,42.0,57,3.4930000000000003,11
2,2021-11-15,-25,21,46,42.0,56,3.495,11
3,2021-11-08,-24,24,48,42.0,57,3.505,11
4,2021-11-01,-25,22,47,43.0,56,3.484,11
5,2021-10-18,-29,20,49,41.0,59,3.4160000000000004,10
6,2021-10-11,-28,21,49,41.0,58,3.36,10
7,2021-10-04,-24,22,46,44.0,54,3.285,10
8,2021-09-27,-28,20,48,42.0,57,3.2710000000000004,9
9,2021-09-20,-29,21,50,41.0,58,3.28,9
10,2021-09-13,-25,22,47,43.0,56,3.262,9
11,2021-09-06,-21,25,46,45.0,54,3.273,9
12,2021-08-30,-24,24,47,42.0,56,3.237,8
13,2021-08-23,-21,25,46,45.0,54,3.2430000000000003,8
14,2021-08-16,-21,25,46,44.0,55,3.272,8
15,2021-08-09,-18,27,45,46.0,52,3.2689999999999997,8
16,2021-08-02,-21,26,47,42.0,56,3.2560000000000002,8
17,2021-07-26,-21,24,45,44.0,55,3.2319999999999998,7
18,2021-07-19,-18,27,45,46.0,53,3.247,7
19,2021-07-12,-17,26,43,47.0,52,3.227,7
20,2021-07-05,-13,29,42,48.0,51,3.216,7
21,2021-06-28,-16,26,42,46.0,52,3.185,6
22,2021-06-21,-9,29,38,50.0,48,3.153,6
23,2021-06-14,-12,28,40,49.0,49,3.161,6
24,2021-06-07,-11,29,40,49.0,50,3.128,6
25,2021-05-24,-9,30,39,51.0,47,3.112,5
26,2021-05-17,-7,31,38,50.0,48,3.1180000000000003,5
27,2021-05-10,-10,30,40,52.0,47,3.051,5
28,2021-05-03,-9,31,40,50.0,49,2.9810000000000003,5
29,2021-04-26,-3,31,34,55.0,43,2.9619999999999997,4
30,2021-04-19,-10,31,41,51.0,48,2.945,4
31,2021-04-12,-10,31,41,48.0,50,2.9389999999999996,4
32,2021-04-05,-4,35,39,50.0,47,2.945,4
33,2021-03-29,-11,30,41,48.0,50,2.9410000000000003,3
34,2021-03-22,-10,32,42,50.0,49,2.9539999999999997,3
35,2021-03-15,-8,31,39,50.0,48,2.94,3
36,2021-03-08,-8,33,41,51.0,48,2.8569999999999998,3
37,2021-03-01,-11,31,42,48.0,50,2.7960000000000003,3
38,2021-02-22,-10,32,42,49.0,49,2.717,2
39,2021-02-15,-4,35,39,52.0,46,2.588,2
40,2021-02-08,-8,33,41,49.0,49,2.548,2
41,2021-02-01,-7,33,40,49.0,48,2.495,2
42,2021-01-25,-8,32,40,50.0,48,2.478,1
43,2021-01-18,-5,34,39,50.0,48,2.464,1
44,2021-01-11,-3,36,39,50.0,47,2.403,1
45,2021-01-04,-1,36,37,52.0,46,2.336,1
46,2020-12-28,-5,35,40,49.0,48,2.33,12
