,Date,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),Year
0,2017-01-23,38.0,36.0,56.0,44.0,2.436,2017
1,2017-01-30,41.4,33.6,56.6,43.2,2.408,2017
2,2017-02-06,38.0,38.8,52.8,47.2,2.405,2017
3,2017-02-13,37.8,38.6,52.8,47.2,2.418,2017
4,2017-02-20,37.4,38.0,53.4,46.6,2.414,2017
5,2017-02-27,36.8,38.8,51.4,48.4,2.427,2017
6,2017-03-06,35.2,39.0,51.2,48.8,2.452,2017
7,2017-03-13,34.8,40.4,49.8,50.2,2.434,2017
8,2017-03-20,30.8,43.2,46.6,53.0,2.4330000000000003,2017
9,2017-03-27,31.4,43.2,47.2,52.8,2.428,2017
10,2017-04-03,27.4,44.6,44.2,55.6,2.471,2017
11,2017-04-10,27.4,45.0,44.4,55.6,2.5340000000000003,2017
12,2017-04-17,28.6,43.2,46.8,53.2,2.546,2017
13,2017-04-24,31.2,39.4,49.2,50.8,2.559,2017
14,2017-05-01,30.8,41.8,47.2,52.8,2.522,2017
15,2017-05-08,30.0,41.0,47.6,52.4,2.484,2017
16,2017-05-15,28.2,44.2,46.2,53.6,2.481,2017
17,2017-05-22,27.0,46.4,43.8,56.0,2.51,2017
18,2017-05-29,29.8,43.2,46.4,53.6,2.516,2017
19,2017-06-05,28.2,46.2,43.8,56.2,2.525,2017
20,2017-06-12,28.0,44.4,45.8,54.2,2.479,2017
21,2017-06-19,29.6,44.2,46.2,53.8,2.4330000000000003,2017
22,2017-06-26,29.8,42.6,46.4,53.4,2.404,2017
23,2017-07-03,29.4,43.4,46.0,54.0,2.376,2017
24,2017-07-10,27.25,46.25,44.25,55.75,2.411,2017
25,2017-07-17,27.0,46.0,44.4,55.6,2.392,2017
26,2017-07-24,26.6,47.4,42.8,57.2,2.426,2017
27,2017-07-31,25.4,47.4,42.2,57.8,2.467,2017
28,2017-08-07,24.8,49.2,38.8,60.6,2.492,2017
29,2017-08-14,26.8,46.6,42.6,55.4,2.497,2017
30,2017-08-21,25.4,46.8,41.4,57.2,2.474,2017
31,2017-08-28,25.4,46.6,42.0,56.4,2.513,2017
32,2017-09-04,26.0,46.2,41.4,57.4,2.7939999999999996,2017
33,2017-09-11,28.4,44.2,44.6,53.8,2.8,2017
34,2017-09-18,26.0,44.4,43.4,54.8,2.75,2017
35,2017-09-25,27.0,44.8,43.0,55.2,2.701,2017
36,2017-10-02,26.6,46.6,43.4,55.2,2.682,2017
37,2017-10-09,28.2,46.8,43.8,55.2,2.622,2017
38,2017-10-16,27.4,46.6,43.4,55.4,2.605,2017
39,2017-10-23,26.2,46.4,42.2,56.0,2.594,2017
40,2017-10-30,27.2,47.4,42.4,56.0,2.602,2017
41,2017-11-06,28.2,46.6,43.4,54.8,2.673,2017
42,2017-11-13,27.4,47.8,43.2,55.8,2.7060000000000004,2017
43,2017-11-20,28.2,45.8,43.6,54.6,2.6830000000000003,2017
44,2017-11-27,26.666666666666668,45.666666666666664,42.666666666666664,55.666666666666664,2.648,2017
45,2017-12-04,27.4,47.2,42.4,55.8,2.617,2017
46,2017-12-11,29.0,46.0,42.6,55.6,2.6010000000000004,2017
47,2017-12-18,28.2,46.4,41.0,56.8,2.568,2017
48,2017-12-25,29.0,45.0,43.2,54.6,2.589,2017
49,2018-01-01,29.0,44.0,45.333333333333336,53.0,2.637,2018
50,2018-01-08,29.666666666666668,43.666666666666664,44.333333333333336,53.666666666666664,2.639,2018
51,2018-01-15,29.4,44.0,44.0,54.6,2.673,2018
52,2018-01-22,29.4,44.4,45.2,53.6,2.6839999999999997,2018
53,2018-01-29,29.0,44.8,43.6,55.4,2.7230000000000003,2018
54,2018-02-05,30.8,42.2,44.8,53.6,2.753,2018
55,2018-02-12,34.6,41.4,48.6,50.0,2.7239999999999998,2018
56,2018-02-19,32.4,41.6,47.6,51.0,2.676,2018
57,2018-02-26,31.8,43.2,47.8,51.2,2.6660000000000004,2018
58,2018-03-05,34.0,39.4,49.2,49.4,2.679,2018
59,2018-03-12,31.2,43.0,46.2,53.0,2.677,2018
60,2018-03-19,30.6,41.6,46.6,52.2,2.716,2018
61,2018-03-26,30.0,42.8,46.6,52.0,2.764,2018
62,2018-04-02,29.8,42.0,45.8,52.6,2.8169999999999997,2018
