,Date,Approval Index,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),Year
0,2021-01-18,-7,35,42,48.0,51,2.464,2021
1,2021-01-11,-8,35,43,48.0,51,2.403,2021
2,2020-12-21,-12,30,42,46.0,52,2.311,2020
3,2020-12-14,-11,34,45,46.0,52,2.247,2020
4,2020-12-07,-2,39,41,48.0,50,2.246,2020
5,2020-11-30,-6,37,43,49.0,49,2.211,2020
6,2020-11-23,-6,37,43,48.0,50,2.194,2020
7,2020-11-16,0,41,41,52.0,47,2.202,2020
8,2020-11-09,+1,40,39,52.0,47,2.188,2020
9,2020-11-02,0,41,41,52.0,48,2.204,2020
10,2020-10-26,-2,41,43,52.0,46,2.234,2020
11,2020-10-19,-7,39,46,48.0,50,2.24,2020
12,2020-10-12,-6,39,45,49.0,50,2.2569999999999997,2020
13,2020-10-05,-12,35,47,46.0,53,2.262,2020
14,2020-09-28,-11,37,48,46.0,53,2.259,2020
15,2020-09-21,0,42,42,51.0,48,2.259,2020
16,2020-09-14,-3,40,43,51.0,48,2.274,2020
17,2020-09-07,-1,41,42,51.0,49,2.302,2020
18,2020-08-31,-5,38,43,47.0,51,2.311,2020
19,2020-08-24,-1,39,40,51.0,47,2.272,2020
20,2020-08-17,-7,36,43,47.0,51,2.256,2020
21,2020-08-10,-8,35,43,48.0,51,2.256,2020
22,2020-08-03,-1,40,41,51.0,47,2.266,2020
23,2020-07-27,-12,34,46,46.0,52,2.265,2020
24,2020-07-20,-12,33,45,46.0,53,2.275,2020
25,2020-07-13,-11,34,45,45.0,54,2.283,2020
26,2020-07-06,-10,33,43,47.0,52,2.265,2020
27,2020-06-29,-17,31,48,42.0,55,2.26,2020
28,2020-06-22,-10,33,43,46.0,52,2.2159999999999997,2020
29,2020-06-15,-19,29,48,43.0,56,2.185,2020
30,2020-06-08,-12,31,43,47.0,52,2.123,2020
31,2020-06-01,-9,33,42,47.0,52,2.064,2020
32,2020-05-25,-16,31,47,43.0,55,2.049,2020
33,2020-05-18,-8,34,42,48.0,51,1.969,2020
34,2020-05-11,-8,33,41,48.0,50,1.9409999999999998,2020
35,2020-05-04,-9,34,43,46.0,53,1.883,2020
36,2020-04-27,-14,30,44,44.0,54,1.87,2020
37,2020-04-20,-10,32,42,46.0,53,1.91,2020
38,2020-04-13,-15,29,44,43.0,56,1.9509999999999998,2020
39,2020-04-06,-11,33,44,44.0,53,2.022,2020
40,2020-03-30,-5,35,40,45.0,54,2.103,2020
41,2020-03-23,-8,35,43,45.0,52,2.217,2020
42,2020-03-16,-8,34,43,47.0,52,2.343,2020
43,2020-03-09,-7,34,41,48.0,51,2.468,2020
44,2020-03-02,-8,34,42,46.0,52,2.5140000000000002,2020
45,2020-02-24,-4,38,42,49.0,50,2.555,2020
46,2020-02-17,-5,37,42,49.0,50,2.5180000000000002,2020
47,2020-02-10,-2,40,42,50.0,48,2.511,2020
48,2020-02-03,-6,34,40,48.0,50,2.546,2020
49,2020-01-27,0,40,40,50.0,49,2.595,2020
50,2020-01-20,-4,38,42,48.0,51,2.625,2020
51,2020-01-13,-7,37,44,48.0,50,2.657,2020
52,2020-01-06,-3,38,41,49.0,50,2.665,2020
53,2019-12-30,-10,35,45,46.0,53,2.658,2019
54,2019-12-23,-4,36,40,48.0,51,2.6210000000000004,2019
55,2019-12-16,-6,36,42,47.0,51,2.627,2019
56,2019-12-09,-4,36,40,51.0,48,2.6519999999999997,2019
57,2019-12-02,-11,33,44,46.0,53,2.667,2019
58,2019-11-25,-11,35,46,44.0,55,2.6719999999999997,2019
59,2019-11-18,-5,37,42,50.0,49,2.688,2019
60,2019-11-11,-12,33,45,47.0,52,2.7110000000000003,2019
61,2019-11-04,-14,32,46,44.0,55,2.702,2019
62,2019-10-28,-12,31,43,45.0,54,2.6919999999999997,2019
63,2019-10-21,-10,34,44,45.0,53,2.735,2019
64,2019-10-14,-8,34,42,49.0,50,2.727,2019
65,2019-10-07,-7,36,43,47.0,51,2.742,2019
66,2019-09-30,-7,35,42,49.0,50,2.737,2019
67,2019-09-23,-3,36,39,52.0,46,2.741,2019
68,2019-09-16,-6,35,41,50.0,49,2.64,2019
69,2019-09-09,-11,33,44,46.0,53,2.638,2019
70,2019-09-02,-13,30,43,45.0,54,2.6510000000000002,2019
71,2019-08-26,-8,33,41,48.0,50,2.661,2019
72,2019-08-19,-11,32,43,46.0,53,2.6839999999999997,2019
73,2019-08-12,-9,32,41,47.0,52,2.71,2019
74,2019-08-05,-6,35,41,48.0,50,2.772,2019
75,2019-07-29,-10,34,44,47.0,52,2.798,2019
76,2019-07-22,-10,33,43,49.0,49,2.833,2019
77,2019-07-15,-9,34,43,46.0,52,2.86,2019
78,2019-07-08,-6,34,40,50.0,49,2.827,2019
79,2019-07-01,-7,33,40,47.0,51,2.798,2019
80,2019-06-24,-4,36,40,48.0,50,2.741,2019
